StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2007-11-08 14:00:58;2007-11-08 14:01:45;2007-11-08 14:01:45;00:00:01;00:00:47;0.99108;0.946153;1;45;0;0;0.99108;2.79641;0.99108;2.79641;0;0;1;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;44;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:46;2007-11-08 14:01:46;00:00:01;00:00:48;0.99108;0.947067;1;46;0;0;4.9554;2.8412;4.9554;2.8412;0;0;0;0;0;2;46;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;46;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:47;2007-11-08 14:01:47;00:00:01;00:00:49;0.99108;0.947944;1;47;0;0;0.99108;2.80349;0.99108;2.80349;0;0;1;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;46;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:48;2007-11-08 14:01:48;00:00:01;00:00:50;0.99108;0.948785;1;48;0;0;4.9554;2.84636;4.9554;2.84636;0;0;0;0;0;2;48;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;48;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:49;2007-11-08 14:01:49;00:00:01;00:00:51;0.99108;0.949594;1;49;0;0;0.99108;2.81002;0.99108;2.81002;0;0;1;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;48;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:50;2007-11-08 14:01:50;00:00:01;00:00:52;0.99108;0.950354;1;50;0;0;4.9554;2.85106;4.9554;2.85106;0;0;0;0;0;2;50;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;50;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:51;2007-11-08 14:01:51;00:00:01;00:00:53;0.99108;0.951102;1;51;0;0;0.99108;2.81601;0.99108;2.81601;0;0;1;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;50;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:52;2007-11-08 14:01:52;00:00:01;00:00:54;0.99108;0.951823;1;52;0;0;4.9554;2.85547;4.9554;2.85547;0;0;0;0;0;2;52;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;52;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:53;2007-11-08 14:01:53;00:00:01;00:00:55;0.99108;0.952518;1;53;0;0;0.99108;2.82161;0.99108;2.82161;0;0;1;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:008;;52;0;0;0;0;0;0;
2007-11-08 14:00:58;2007-11-08 14:01:54;2007-11-08 14:01:54;00:00:01;00:00:56;0.99108;0.953188;1;54;0;0;4.9554;2.85956;4.9554;2.85956;0;0;0;0;0;2;54;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008;00:00:00:008;;54;0;0;0;0;0;0;
